sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,1,500000,4.3012036151115495e-05,0.10250200000000002,0.18097032943175143,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,5,500000,-4.1950014725502466e-16,0.10004500000000002,0.1809674836071919,0.1,0.8,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,11,500000,0.9785207717372219,0.8999720000000002,0.16261237436321072,0.5,1.3,-0.4444444444444445
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.15,4,500000,0.8397351047105966,0.700009,0.14895386255838405,0.25,1.15,-0.42857142857142866
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,13,500000,0.7725259300778893,0.5999939999999998,0.13720038418002836,0.2,1.0,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.15,2,500000,0.6439519824618783,0.7535814999999999,0.12784369518026037,0.25,1.15,0.05084745762711876
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,6,500000,0.31503919551374143,0.20008300000000007,0.16374484255633312,0.1,0.8,-1.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,12,500000,-4.1950014725502466e-16,0.10094700000000002,0.1809674836071919,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,7,500000,0.9588924822877428,0.7999610000000003,0.16848938500528388,0.1,1.0,0.5
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,14,500000,-5.747342914337978e-05,0.500016,0.1213037058198878,0.5,1.3,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,5,500000,0.5233895810394676,0.6749689999999999,0.14902484071339359,0.1,1.0,0.7894736842105262
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,2,500000,-0.00028160906992514027,0.6000099999999997,0.13719467684896514,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,8,500000,0.9332489420322518,0.799884,0.1572279518688334,0.2,1.0,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,10,500000,0.8433547397291298,0.5999919999999999,0.1509135757426754,0.1,1.0,0.5
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,18,500000,0.8432619746696567,0.5999119999999999,0.15089946415493422,0.1,1.0,-0.3333333333333335
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,16,500000,0.611483325687379,0.7994500000000003,0.11564087907749958,0.1,1.0,0.6363636363636364
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,10,500000,0.7447917390666758,0.699997,0.14895778792325515,0.4,1.0,0.4285714285714285
